Topic,Words,Frequency,Timestamp
3,"saudi, policy, foreign, gulf, omans",3,2016
4,"imf, alternative, domestic political, alternative resources, domestic political environment",1,2016
5,"democratic, political, islam, religious, public",3,2016
6,"womens, women, arab, rights, tunisian",4,2016
7,"sanctions, eus sanctions, critical juncture, juncture, eus",1,2016
8,"land property, land, yemen, property, th",2,2016
9,"voting, israel, tunisian, abroad, external voting",2,2016
10,"justice, transitional justice, transitional, demands, tunisian",2,2016
11,"institutional, text, provisions, constitution, constitutionmaking",2,2016
-1,"arab, spring, arab spring, tunisia, political",18,2017
0,"libya, libyan, selfimmolation, revolution, 2011",9,2017
1,"media, social, social media, political, arab",8,2017
2,"uprisings, arab, egypt, political, trust",6,2017
3,"saudi, syria, policy, trump, arab",5,2017
4,"banks, tax, family, audit, tax avoidance",6,2017
5,"religious, ennahda, islam, political, oi",3,2017
6,"women, contraception, code, tunisia, education",4,2017
8,"yemen, south, world, years, socialist",3,2017
9,"collapse, security, authoritarian, relations, tunisia",2,2017
10,"tunisian, youth, democracy, legislators, civil society",4,2017
-1,"arab, tunisia, spring, arab spring, countries",26,2018
0,"libya, waste, study, libyan, fractures",9,2018
1,"media, data, vgi, geographical features, names",2,2018
2,"national identity, nonviolent, identity, national, movements",1,2018
3,"multipolarity, instability, regional, tensions, east",1,2018
4,"companies, political instability, pcs, political, instability",2,2018
5,"pilgrimage, islam, political, parties, ennahda",5,2018
6,"tunisian, marriage, women, law, marriage registration",2,2018
7,"eu, democracy promotion, promotion, international, democracy",2,2018
8,"yemeni, family, war, yemen, family dynamics",2,2018
9,"regime, experience, relegation, political relegation, senior",1,2018
10,"tunisian, kerkennah, publication, research, justice",2,2018
11,"protocol, ecowas, democratic, normative, guinea",2,2018
12,"turkey, million, syrian, turkish, people",1,2018
-1,"arab, foreign, tunisia, spring, arab spring",31,2019
0,"libya, libyan, revolution, security, years",7,2019
1,"media, social, social media, arab, political",9,2019
2,"emotions, arab, decisions, egypt, uprisings",3,2019
3,"america, latin, irans, latin america, iran",3,2019
4,"fdi, spring, investment, remittances, arab spring",5,2019
5,"parties, islamist, tunisia, islamist parties, party",3,2019
6,"family law, law, started, legislation, womenfriendly",1,2019
7,"eu, security, regional, eus, cooperation",5,2019
8,"services, fp, conflict, yemen, pac",2,2019
9,"provisional, provisional administrations, administrations, tpa, actors",1,2019
10,"tunisian, civil society, society, civil, youth",2,2019
