Title,Year,Abstract,Text,Mentions,Group,GO,CW,GC,Topic
Relationship between mass media and education: Case of Jordan,2017,"The paper is showing the relationship between the mass media and education. It contains the role, importance and effects of mass media on education in underdeveloped countries. It also talks about the use of media in classroom and in the teaching learning process. This paper is representing the extensive and extreme use of media in education contents and its social impact upon society because of its inherent ability to reach large number of public. We will take for example “jordan” and through specific examples and statistics, we will analyse the whole process starting on 2011 with the Arab spring. ","Relationship between mass media and education: Case of Jordan The paper is showing the relationship between the mass media and education. It contains the role, importance and effects of mass media on education in underdeveloped countries. It also talks about the use of media in classroom and in the teaching learning process. This paper is representing the extensive and extreme use of media in education contents and its social impact upon society because of its inherent ability to reach large number of public. We will take for example “jordan” and through specific examples and statistics, we will analyse the whole process starting on 2011 with the Arab spring. ",['jor'],GC,False,False,True,0
Still troubled: Tunisia’s youth during and since the revolution of 2011,2017,"This paper presents evidence from interviews in 2015–2016 with a nationally representative sample of Tunisia’s 15–29 year olds. We focus on the sample’s political participation and orientations during the revolution of 2011 and subsequently. We find that just 6.6 percent of those aged 15–24 at the time played any direct part in the ‘events of 2011’. Political engagement then and subsequently is shown to have been influenced most strongly by a university education and growing up in a politically engaged family. In 2015–2016, young people were overwhelmingly pro-democracy, supported equal opportunities and status for the sexes, and endorsed values of self-expression, but attached equal importance to economic security and betterment, felt that their country’s traditions should be maintained and respected, and were personally religious, though three-quarters wanted religion to be kept out of politics and government. Although Tunisia is the sole Arab Spring country to emerge with a still functioning (in 2017) multi-party democracy, we find that in 2015–2016, the majority of young people did not trust their elected politicians. Our survey findings suggest explanations for the paradox between young Tunisians’ overwhelming support for democracy alongside intense disappointment with the outcomes. ","Still troubled: Tunisia’s youth during and since the revolution of 2011 This paper presents evidence from interviews in 2015–2016 with a nationally representative sample of Tunisia’s 15–29 year olds. We focus on the sample’s political participation and orientations during the revolution of 2011 and subsequently. We find that just 6.6 percent of those aged 15–24 at the time played any direct part in the ‘events of 2011’. Political engagement then and subsequently is shown to have been influenced most strongly by a university education and growing up in a politically engaged family. In 2015–2016, young people were overwhelmingly pro-democracy, supported equal opportunities and status for the sexes, and endorsed values of self-expression, but attached equal importance to economic security and betterment, felt that their country’s traditions should be maintained and respected, and were personally religious, though three-quarters wanted religion to be kept out of politics and government. Although Tunisia is the sole Arab Spring country to emerge with a still functioning (in 2017) multi-party democracy, we find that in 2015–2016, the majority of young people did not trust their elected politicians. Our survey findings suggest explanations for the paradox between young Tunisians’ overwhelming support for democracy alongside intense disappointment with the outcomes. ",['tun'],GO,True,False,False,7
Accessing the Multipolarity and Instability in the Middle East,2018,"Tensions have long been a feature of the international relations of the Middle East. After the 2011 Arab uprisings, regional instability is being driven by a confluence of three interrelated developments. First, the weakening role of the United States as a power balancer in the Middle East, combined with the larger global context, has provided assumptions about threats and new opportunities for local and other actors to pursue strategic and foreign policy objectives that have deepened tensions and regional competition. Second, there has been a juxtaposing of power multipolarity with ideological multipolarity, itself a source of increased instability, with two of the regional powers, Iran and Saudi Arabia, fanning opposing sectarian flames to further their respective strategic objectives. Third, this strategic competition is being played out in several newly weakened or collapsing states such as Libya, Syria, and Yemen. Similarly, the regional powers’ competition in previously weakened states, such as Lebanon and Iraq, has intensified due to the acquisition of new, sectarian dimensions. These developments are likely to perpetuate instability and tensions in the Middle East for the foreseeable future.[Figure presented] ","Accessing the Multipolarity and Instability in the Middle East Tensions have long been a feature of the international relations of the Middle East. After the 2011 Arab uprisings, regional instability is being driven by a confluence of three interrelated developments. First, the weakening role of the United States as a power balancer in the Middle East, combined with the larger global context, has provided assumptions about threats and new opportunities for local and other actors to pursue strategic and foreign policy objectives that have deepened tensions and regional competition. Second, there has been a juxtaposing of power multipolarity with ideological multipolarity, itself a source of increased instability, with two of the regional powers, Iran and Saudi Arabia, fanning opposing sectarian flames to further their respective strategic objectives. Third, this strategic competition is being played out in several newly weakened or collapsing states such as Libya, Syria, and Yemen. Similarly, the regional powers’ competition in previously weakened states, such as Lebanon and Iraq, has intensified due to the acquisition of new, sectarian dimensions. These developments are likely to perpetuate instability and tensions in the Middle East for the foreseeable future.[Figure presented] ","['lby', 'sau', 'yem', 'irn', 'usa', 'syr', 'irq', 'lbn']",CW,False,True,False,19
Main drivers of economic growth: A sectoral approach to GDP growth in Egypt,2018,"The increasing attention of the Government of Egypt, since the 2011 revolution, to achieve sustainable and inclusive growth has given a renewed stimulus to research on economic growth from a sectoral perspective. In this paper, we investigate the main sectors that drive economic growth in Egypt in various time periods by adopting an econometric modelling strategy. In particular, we attempt to answer the following questions: what are the sectors that led economic growth in Egypt during the high-growth period? Were these sectors resilient to shocks? What are therefore the sectors of high priority that policy makers should direct efforts to in order to achieve sustainable inclusive high growth rates? The findings of the regression model reveal a significant role for both the manufacturing and the agriculture sector in promoting economic growth, with a 1% increase in the output of the manufacturing sector being capable of increasing GDP by 0.17%, while, the same increase in the output of the agriculture sector resulting in an increase in GDP by 0.15%. Copyright ","Main drivers of economic growth: A sectoral approach to GDP growth in Egypt The increasing attention of the Government of Egypt, since the 2011 revolution, to achieve sustainable and inclusive growth has given a renewed stimulus to research on economic growth from a sectoral perspective. In this paper, we investigate the main sectors that drive economic growth in Egypt in various time periods by adopting an econometric modelling strategy. In particular, we attempt to answer the following questions: what are the sectors that led economic growth in Egypt during the high-growth period? Were these sectors resilient to shocks? What are therefore the sectors of high priority that policy makers should direct efforts to in order to achieve sustainable inclusive high growth rates? The findings of the regression model reveal a significant role for both the manufacturing and the agriculture sector in promoting economic growth, with a 1% increase in the output of the manufacturing sector being capable of increasing GDP by 0.17%, while, the same increase in the output of the agriculture sector resulting in an increase in GDP by 0.15%. Copyright ",['egy'],GO,True,False,False,4
Beyond Structure and Contingency: Toward an Interactionist and Sequential Approach to the 2011 Uprisings,2017,"Taking as its starting point the mental earthquake produced by the 2011 uprisings, this article tackles the epistemological questions of causality and contingency in an effort to foster dialogue between comparative political regime studies, the sociology of revolutions and social movement literature. Based on a comparative analysis of three ‘positive cases’ (Egypt, Syria and Tunisia), and a ‘negative case’ (Morocco), it follows an interactionist and sequential approach to revolutionary situations. Its main objective is to expand the scope of the attempts aimed at reconciling structure and contingency, by focusing on the formation of large coalitions and the spread of mobilization on division or defection from within the repressive apparatus, and on the impact of crisis management by the incumbents. More specifically, the article highlights the fact that uncertainty affects not only the ‘actors from below,’ but also all the actors present: the challengers as much as the incumbents and their international allies, the ordinary citizens as well as the officers and the recruits. ","Beyond Structure and Contingency: Toward an Interactionist and Sequential Approach to the 2011 Uprisings Taking as its starting point the mental earthquake produced by the 2011 uprisings, this article tackles the epistemological questions of causality and contingency in an effort to foster dialogue between comparative political regime studies, the sociology of revolutions and social movement literature. Based on a comparative analysis of three ‘positive cases’ (Egypt, Syria and Tunisia), and a ‘negative case’ (Morocco), it follows an interactionist and sequential approach to revolutionary situations. Its main objective is to expand the scope of the attempts aimed at reconciling structure and contingency, by focusing on the formation of large coalitions and the spread of mobilization on division or defection from within the repressive apparatus, and on the impact of crisis management by the incumbents. More specifically, the article highlights the fact that uncertainty affects not only the ‘actors from below,’ but also all the actors present: the challengers as much as the incumbents and their international allies, the ordinary citizens as well as the officers and the recruits. ","['syr', 'mar', 'egy', 'tun']",GC,True,True,True,8
The role of political Islam in Tunisia’s democratization process: Towards a new pattern of secularization?,2018,"As far as the discussions on the Muslim world have been concerned with the process of secularization, a major focus has been the question of whether Islam and democracy are compatible. The religious-oppositional- civil movements that have been revived since the 1980s, has prompted a reformulation of the question as follows: “are secularization/laicism and democracy compatible?” or, put differently, “are the enemies of democracy in the Middle East, not the Islamic parties, but the secular regimes” From this perspective, there has been a shift from the dominance of the French type of authoritarian, exclusivist and monopolistic laicism to a pluralistic understanding of secularization, influenced by the resurgence of political Islam in Tunisia after the Jasmine Revolution. ","The role of political Islam in Tunisia’s democratization process: Towards a new pattern of secularization? As far as the discussions on the Muslim world have been concerned with the process of secularization, a major focus has been the question of whether Islam and democracy are compatible. The religious-oppositional- civil movements that have been revived since the 1980s, has prompted a reformulation of the question as follows: “are secularization/laicism and democracy compatible?” or, put differently, “are the enemies of democracy in the Middle East, not the Islamic parties, but the secular regimes” From this perspective, there has been a shift from the dominance of the French type of authoritarian, exclusivist and monopolistic laicism to a pluralistic understanding of secularization, influenced by the resurgence of political Islam in Tunisia after the Jasmine Revolution. ",['tun'],GO,True,False,False,20
Dashed hopes and extremism in Tunisia,2018,"Since 2011, the Tunisian government has carried out the most successful democratic transition of the Arab Spring. Yet during this same period, acts of domestic terrorism grew significantly. This development contradicts a prominent belief that democratization should produce declining levels of radicalization. This paper argues that Tunisia’s 2011 revolution created a combustible combination of unmanaged social expectations, declining institutional capability, and persistent socioeconomic grievances. Within a governance vacuum and amid regional turmoil, the violent religious extremism propagated by ISIS and other jihadist groups has, for some Tunisians, replaced hopelessness with a sense of identity and purpose. ","Dashed hopes and extremism in Tunisia Since 2011, the Tunisian government has carried out the most successful democratic transition of the Arab Spring. Yet during this same period, acts of domestic terrorism grew significantly. This development contradicts a prominent belief that democratization should produce declining levels of radicalization. This paper argues that Tunisia’s 2011 revolution created a combustible combination of unmanaged social expectations, declining institutional capability, and persistent socioeconomic grievances. Within a governance vacuum and amid regional turmoil, the violent religious extremism propagated by ISIS and other jihadist groups has, for some Tunisians, replaced hopelessness with a sense of identity and purpose. ",['tun'],GO,True,False,False,7
"Socioeconomic Inequalities in Maternity Care Utilization: Evidence From Egypt, Jordan and Yemen",2017,"We examine the socioeconomic inequalities in maternity care utilization in Egypt, Jordan and Yemen after the Arab Spring. The level of inequality is severe in Yemen, moderate in Egypt and minor in Jordan. Socioeconomic disparities in maternity care utilization are mainly a result of the lack of economic resources and its correlates among the poor. The political instability in the region did not hinder Egypt and Jordan from improving maternal health indicators at the national level. Increasing women education and poverty reduction measures focusing on rural communities could help narrow the inequalities in maternity care and hence improves population health outcomes. Copyright ","Socioeconomic Inequalities in Maternity Care Utilization: Evidence From Egypt, Jordan and Yemen We examine the socioeconomic inequalities in maternity care utilization in Egypt, Jordan and Yemen after the Arab Spring. The level of inequality is severe in Yemen, moderate in Egypt and minor in Jordan. Socioeconomic disparities in maternity care utilization are mainly a result of the lack of economic resources and its correlates among the poor. The political instability in the region did not hinder Egypt and Jordan from improving maternal health indicators at the national level. Increasing women education and poverty reduction measures focusing on rural communities could help narrow the inequalities in maternity care and hence improves population health outcomes. Copyright ","['yem', 'egy', 'jor']",GC,True,True,True,-1
Hegemonic blackmail: entrapment in civil war intervention,2017,"How do alliance ties impact intervention decision-making? In the aftermath of the Arab Spring, the interventionist mantle was adopted by many of America’s allies, from the French- and British-led intervention in Libya, to the heavy involvement of Saudi Arabia, Turkey and Qatar in Syria. In both cases, the United States was eventually drawn into the intervention. This article lays the theoretical foundations for the logic of civil war entrapment, illustrating that alliance ties can be used by smaller states to induce their more militarily capable allies to join an intervention. This pressure–whether exercised through diplomatic pressure, manipulation of media narratives and public opinion, or through tactical manipulation of the war–constitutes a crude form of “hegemonic blackmail,” allowing small states to entangle their more powerful allies in intervention. ","Hegemonic blackmail: entrapment in civil war intervention How do alliance ties impact intervention decision-making? In the aftermath of the Arab Spring, the interventionist mantle was adopted by many of America’s allies, from the French- and British-led intervention in Libya, to the heavy involvement of Saudi Arabia, Turkey and Qatar in Syria. In both cases, the United States was eventually drawn into the intervention. This article lays the theoretical foundations for the logic of civil war entrapment, illustrating that alliance ties can be used by smaller states to induce their more militarily capable allies to join an intervention. This pressure–whether exercised through diplomatic pressure, manipulation of media narratives and public opinion, or through tactical manipulation of the war–constitutes a crude form of “hegemonic blackmail,” allowing small states to entangle their more powerful allies in intervention. ","['lby', 'sau', 'tur', 'qat', 'usa', 'syr']",CW,False,True,False,-1
"Women, Political Participation, and the Arab Spring: Political Awareness and Participation in Democratizing Tunisia",2017,"This research examines the constraints to female political participation in democratizing Tunisia. Analyzing data from the Voter Registration & Voter Confidence Assessment in Tunisia Survey conducted by the International Foundation for Electoral Systems (IFES) in March 2011 shows stark differences between men and women in their levels of political awareness, which causes a barrier to female political participation. Substantiated by a battery of tests, this gap is primarily structured by differences in university-level education and income levels. Contributing factors to explain the gap are differences in the degree of female public presence in urban settings, as opposed to rural areas, and a lack of access to information about politics. Policy recommendations to reduce this gap are creating educational funds for women and increasing the accessibility of political information outside of the capital. ","Women, Political Participation, and the Arab Spring: Political Awareness and Participation in Democratizing Tunisia This research examines the constraints to female political participation in democratizing Tunisia. Analyzing data from the Voter Registration & Voter Confidence Assessment in Tunisia Survey conducted by the International Foundation for Electoral Systems (IFES) in March 2011 shows stark differences between men and women in their levels of political awareness, which causes a barrier to female political participation. Substantiated by a battery of tests, this gap is primarily structured by differences in university-level education and income levels. Contributing factors to explain the gap are differences in the degree of female public presence in urban settings, as opposed to rural areas, and a lack of access to information about politics. Policy recommendations to reduce this gap are creating educational funds for women and increasing the accessibility of political information outside of the capital. ",['tun'],GO,True,False,False,12
From Fitnah to Thaura: The metamorphosis of the arab-muslim protest movements,2017,"Since 2011, the Arab world has entered a period of political turbulence accompanied by widespread growth of protest activity. The events that were metaphorically called the “Arab Spring” referring to the “Spring of Nations” of 1848, affected virtually all countries of the Middle East and North Africa. In Libya, Syria, and Yemen, antigovernment demonstrations led to almost complete destruction of statehood raising the question of the existence of these political entities in their former borders. Egypt and Tunisia ended up with a change in the ruling regimes that repeated many times. The ruling elites of other Arab countries, having experienced the wrath of the Arab streets to varying degrees, managed to stay in power. The “Arab Spring” events should be more adequately viewed in the framework of “fitnah”, a form of protest traditional in the Arab-Muslim political culture. Indeed, since the emergence of Islam, fitnah was one of the most common forms of protest activity in the Middle East. However, in the last two centuries, it was replaced by “thaura” or the “revolution,” much more common in the European mentality. While the term ""fitnah"" has mainly negative connotations, “thaura” has been praised in every possible way and even became the basis for commemorative practices. This paper makes an attempt to compare these two forms of protest in the Muslim world. ","From Fitnah to Thaura: The metamorphosis of the arab-muslim protest movements Since 2011, the Arab world has entered a period of political turbulence accompanied by widespread growth of protest activity. The events that were metaphorically called the “Arab Spring” referring to the “Spring of Nations” of 1848, affected virtually all countries of the Middle East and North Africa. In Libya, Syria, and Yemen, antigovernment demonstrations led to almost complete destruction of statehood raising the question of the existence of these political entities in their former borders. Egypt and Tunisia ended up with a change in the ruling regimes that repeated many times. The ruling elites of other Arab countries, having experienced the wrath of the Arab streets to varying degrees, managed to stay in power. The “Arab Spring” events should be more adequately viewed in the framework of “fitnah”, a form of protest traditional in the Arab-Muslim political culture. Indeed, since the emergence of Islam, fitnah was one of the most common forms of protest activity in the Middle East. However, in the last two centuries, it was replaced by “thaura” or the “revolution,” much more common in the European mentality. While the term ""fitnah"" has mainly negative connotations, “thaura” has been praised in every possible way and even became the basis for commemorative practices. This paper makes an attempt to compare these two forms of protest in the Muslim world. ","['lby', 'egy', 'tun', 'yem', 'syr']",CW,True,True,False,-1
The bedoun archive: A public archive created for the northern tribes Bedouin of Kuwait,2018,"This article describes the creation of the Bedoun Archive at the Australian Data Archive, managed by the Australian National University. The Bedoun are a Bedouin minority comprising stateless members of the main tribes of Kuwait. They have been subjected to “Othering” in scholarly literature, indicative of both Orientalism and neo-Orientalism, approaches that have contributed to their oppression by the state and omission from the official histories of Kuwait and the academic literature. The theory and methodology behind the creation of the Bedoun Archive, based on the principles of humanistic sociology and collaborative research with Indigenous Peoples, are discussed. The archive provides safe storage for data analysed in the project, which can be used by others in future. This article contributes to improving understanding of the impact of Orientalism and neo-Orientalism on perceptions of the people and history of the Middle East in general, and the Arabian Gulf and Kuwait in particular. It also contributes new knowledge regarding the complex situation currently faced by the Bedoun, the role of intellectuals in the Arab Spring social movement and subsequently, their contribution to developing formal systems of knowledge about their own culture. ","The bedoun archive: A public archive created for the northern tribes Bedouin of Kuwait This article describes the creation of the Bedoun Archive at the Australian Data Archive, managed by the Australian National University. The Bedoun are a Bedouin minority comprising stateless members of the main tribes of Kuwait. They have been subjected to “Othering” in scholarly literature, indicative of both Orientalism and neo-Orientalism, approaches that have contributed to their oppression by the state and omission from the official histories of Kuwait and the academic literature. The theory and methodology behind the creation of the Bedoun Archive, based on the principles of humanistic sociology and collaborative research with Indigenous Peoples, are discussed. The archive provides safe storage for data analysed in the project, which can be used by others in future. This article contributes to improving understanding of the impact of Orientalism and neo-Orientalism on perceptions of the people and history of the Middle East in general, and the Arabian Gulf and Kuwait in particular. It also contributes new knowledge regarding the complex situation currently faced by the Bedoun, the role of intellectuals in the Arab Spring social movement and subsequently, their contribution to developing formal systems of knowledge about their own culture. ",['kwt'],GC,False,False,True,-1
Sectarianism and social conformity: Evidence from Egypt,2017,"Why might citizens adopt exaggerated public antagonism toward outgroups? When this is so, how much do public and private attitudes diverge? I argue that expanding exclusionary rhetoric against outgroups can create social pressures that incentivize ordinary citizens to adopt bigoted attitudes to avoid ostracism from their own majority community. Based on an investigation of Egypt during the Arab Spring, I identify the emergence and diffusion of a norm of discrimination against the country’s tiny Shi’a population. Under these conditions, a substantial portion of Sunni citizens adopted and countenanced anti-Shi’a bigotry not because they truly believed it, but rather because they feared the consequences of expressing public support for coexistence. A variety of qualitative evidence traces the growth of anti-Shi’a sentiment during this period, while original survey data show that over 80 percent of Sunni respondents openly expressed anti-Shi’a attitudes. Yet when asked about their attitudes via an item count technique, a method that grants a reprieve from social pressures, the percentage of respondents expressing discriminatory views toward the Shi’a dropped to just over 40 percent. One implication is that sectarian attitudes in the region are as much the product of malleable social and political pressures as deeply rooted preferences. ","Sectarianism and social conformity: Evidence from Egypt Why might citizens adopt exaggerated public antagonism toward outgroups? When this is so, how much do public and private attitudes diverge? I argue that expanding exclusionary rhetoric against outgroups can create social pressures that incentivize ordinary citizens to adopt bigoted attitudes to avoid ostracism from their own majority community. Based on an investigation of Egypt during the Arab Spring, I identify the emergence and diffusion of a norm of discrimination against the country’s tiny Shi’a population. Under these conditions, a substantial portion of Sunni citizens adopted and countenanced anti-Shi’a bigotry not because they truly believed it, but rather because they feared the consequences of expressing public support for coexistence. A variety of qualitative evidence traces the growth of anti-Shi’a sentiment during this period, while original survey data show that over 80 percent of Sunni respondents openly expressed anti-Shi’a attitudes. Yet when asked about their attitudes via an item count technique, a method that grants a reprieve from social pressures, the percentage of respondents expressing discriminatory views toward the Shi’a dropped to just over 40 percent. One implication is that sectarian attitudes in the region are as much the product of malleable social and political pressures as deeply rooted preferences. ",['egy'],GO,True,False,False,15
Police collapse in authoritarian regimes: Lessons from Tunisia,2017,"The quick unraveling of authoritarian systems specifically designed to bear social pressure during revolutions is puzzling. Building on the 2011 Tunisian revolution, this article analyzes the collapse of the police apparatus during the 2011 revolution. In line with Way and Levitsky’s study of authoritarian collapse, this article shows that the low cohesion and low scope of the security forces is one of the main factors explaining the rapid collapse of one of the Arab world’s seemingly most solid repressive systems. At the theoretical level, this article will demonstrate that preference falsification is a double-edged sword. On the one hand, it can nourish authoritarian resilience. On the other, it can also weaken repressive regimes by making core members of the regime overestimate the loyalty of the low-ranking members of the security apparatus. ","Police collapse in authoritarian regimes: Lessons from Tunisia The quick unraveling of authoritarian systems specifically designed to bear social pressure during revolutions is puzzling. Building on the 2011 Tunisian revolution, this article analyzes the collapse of the police apparatus during the 2011 revolution. In line with Way and Levitsky’s study of authoritarian collapse, this article shows that the low cohesion and low scope of the security forces is one of the main factors explaining the rapid collapse of one of the Arab world’s seemingly most solid repressive systems. At the theoretical level, this article will demonstrate that preference falsification is a double-edged sword. On the one hand, it can nourish authoritarian resilience. On the other, it can also weaken repressive regimes by making core members of the regime overestimate the loyalty of the low-ranking members of the security apparatus. ",['tun'],GO,True,False,False,-1
Media and the politics of the sacral: freedom of expression in Tunisia after the Arab Uprisings,2017,"In 2011, calls for ‘dignity’ led the mantra for change in the Arab Uprisings. ‘Dégage!’ (‘Clear out!’) was hurled against Tunisia’s President Ben Ali and his fellow Arab dictators’ coercive paradigms that robbed citizens of agency and censored their convictions. During the exceptional politics that ensued, Tunisia’s liberated media exemplified the independence the revolution had achieved. Yet, how free expression was constituted grew increasingly contentious as the media’s lens projected ambiguities in practices surrounding religious and political norms – what Harald Wydra terms ‘sacral symbolisms’ – within the popular imaginary. This implicated interpretations of what was publicly acceptable and dignified and what was not. The media’s engagement with freedom of expression and its significations went through three stages. First, ‘Dégage’, or ‘freedom from’, was celebrated as an erasure of humiliation. The disharmony of competing symbolisms took on new import, however, as the second aspect of constructing dignity, ‘freedom to’, became a contested political and cultural space. Mediation of free expression became a site of power politics and appropriation, creating ‘red lines’ that curtailed certain liberties to secure others, thereby recasting the contention as ‘freedom for whom’. This third stage, in train, remains a realm of mediated uncertainty. ","Media and the politics of the sacral: freedom of expression in Tunisia after the Arab Uprisings In 2011, calls for ‘dignity’ led the mantra for change in the Arab Uprisings. ‘Dégage!’ (‘Clear out!’) was hurled against Tunisia’s President Ben Ali and his fellow Arab dictators’ coercive paradigms that robbed citizens of agency and censored their convictions. During the exceptional politics that ensued, Tunisia’s liberated media exemplified the independence the revolution had achieved. Yet, how free expression was constituted grew increasingly contentious as the media’s lens projected ambiguities in practices surrounding religious and political norms – what Harald Wydra terms ‘sacral symbolisms’ – within the popular imaginary. This implicated interpretations of what was publicly acceptable and dignified and what was not. The media’s engagement with freedom of expression and its significations went through three stages. First, ‘Dégage’, or ‘freedom from’, was celebrated as an erasure of humiliation. The disharmony of competing symbolisms took on new import, however, as the second aspect of constructing dignity, ‘freedom to’, became a contested political and cultural space. Mediation of free expression became a site of power politics and appropriation, creating ‘red lines’ that curtailed certain liberties to secure others, thereby recasting the contention as ‘freedom for whom’. This third stage, in train, remains a realm of mediated uncertainty. ",['tun'],GO,True,False,False,-1
Income mobility and the Arab spring: the case of Egypt and Jordan,2017,"Arab Spring has swept Middle East and North Africa. Although the reasons behind this revolutionary albeit mostly unfruitful social phenomenon is unknown, economic reasons such as income inequality and lack of income mobility have been mentioned. Using an approach that is free of measurement error and attrition biases, this study estimates income mobility in a country that went through Arab Spring, Egypt, and compares that with a similar country that did not experience it, Jordan. The results show that unconditional and conditional income mobility were substantially smaller in Egypt than Jordan. This has implications for the policy-makers not just in the Middle East but the world. ","Income mobility and the Arab spring: the case of Egypt and Jordan Arab Spring has swept Middle East and North Africa. Although the reasons behind this revolutionary albeit mostly unfruitful social phenomenon is unknown, economic reasons such as income inequality and lack of income mobility have been mentioned. Using an approach that is free of measurement error and attrition biases, this study estimates income mobility in a country that went through Arab Spring, Egypt, and compares that with a similar country that did not experience it, Jordan. The results show that unconditional and conditional income mobility were substantially smaller in Egypt than Jordan. This has implications for the policy-makers not just in the Middle East but the world. ","['egy', 'jor']",GC,True,False,True,-1
Of Monarchs and Islamists: The ‘Refo-lutionary’ Promise of the PJD Islamists and Regime Control in Morocco,2017,"The article engages the literature on political parties in semi-authoritarian regimes to examine the state and Islamists’ strategies in the aftermath of the 2011 Arab uprisings in Morocco. The pace of state reforms and the regime’s institutional flexibility pre-Arab spring, the cosmetic reforms in the new constitution, and the 2011 legislative elections so far have insulated the Moroccan regime against any meaningful constitutional and institutional changes. However, the electoral contests produced an opportunity for the Islamist Party of Justice and Development (PJD) to enter the Moroccan political scene at the helm of the government. Using extensive field research and interviews with PJD members, I argue that the party is pursuing a pragmatic ‘refolutionary’ strategy within the regime’s constitutional rules of the game, aiming to mitigate the authoritarian features of the government while tackling, with limited success, Morocco’s major socio-economic issues. Ultimately, the regime’s control over the political system continues to influence Moroccan politics. The monarchy has a long tradition of managing opposition parties through cooptation and confinement, allowing opposition parties some stake in power, while the king and the palace’s shadow government of advisers are firmly in control. ","Of Monarchs and Islamists: The ‘Refo-lutionary’ Promise of the PJD Islamists and Regime Control in Morocco The article engages the literature on political parties in semi-authoritarian regimes to examine the state and Islamists’ strategies in the aftermath of the 2011 Arab uprisings in Morocco. The pace of state reforms and the regime’s institutional flexibility pre-Arab spring, the cosmetic reforms in the new constitution, and the 2011 legislative elections so far have insulated the Moroccan regime against any meaningful constitutional and institutional changes. However, the electoral contests produced an opportunity for the Islamist Party of Justice and Development (PJD) to enter the Moroccan political scene at the helm of the government. Using extensive field research and interviews with PJD members, I argue that the party is pursuing a pragmatic ‘refolutionary’ strategy within the regime’s constitutional rules of the game, aiming to mitigate the authoritarian features of the government while tackling, with limited success, Morocco’s major socio-economic issues. Ultimately, the regime’s control over the political system continues to influence Moroccan politics. The monarchy has a long tradition of managing opposition parties through cooptation and confinement, allowing opposition parties some stake in power, while the king and the palace’s shadow government of advisers are firmly in control. ",['mar'],GC,False,False,True,5
The Quo Vadis of Democratization in Post-Egypt Arab Spring,2017,"This paper aims at examining how democratization in post-uprising Egypt remains flawed and the reasons for this failure. As a background, democratization in post-Arab Spring Egypt has collapsed and it seems now merely an illusion. The situation worsened since Egypt's democratically elected President Morsi was expelled from office through a coup, following mass protests demanding Morsi's discharge. Egypt's democratization is hard to achieve due to the shadow of the Pharaoh in Egypt, that is, entrenched ruling elites; Egypt's democratization process can never succeed while Egypt's old ruling elites are reluctant to allow this to happen.","The Quo Vadis of Democratization in Post-Egypt Arab Spring This paper aims at examining how democratization in post-uprising Egypt remains flawed and the reasons for this failure. As a background, democratization in post-Arab Spring Egypt has collapsed and it seems now merely an illusion. The situation worsened since Egypt's democratically elected President Morsi was expelled from office through a coup, following mass protests demanding Morsi's discharge. Egypt's democratization is hard to achieve due to the shadow of the Pharaoh in Egypt, that is, entrenched ruling elites; Egypt's democratization process can never succeed while Egypt's old ruling elites are reluctant to allow this to happen.",['egy'],GO,True,False,False,1
Reforms in Morocco: monitoring the orbit and reading the trajectory,2017,"Since 2011, Morocco has been undergoing a series of political, constitutional and institutional reforms, including the issue of rights. These reforms were a response to the February 20 movement that emerged against the background of the Arab Spring. Prompted by this movement and its nationwide protests, the King of Morocco delivered a speech in March 2011 on reform and modernization, resulting in the rapid drafting and adoption of a new Moroccan constitution in June 2011. After a referendum on the constitutional reforms in July 2011, parliamentary elections were held in which a coalition government led by the Justice and Development Party (JDP) came to power. This paper analyzes the context of the 2011 constitution and assesses the trajectory of the constitutional reforms up to 2015. ","Reforms in Morocco: monitoring the orbit and reading the trajectory Since 2011, Morocco has been undergoing a series of political, constitutional and institutional reforms, including the issue of rights. These reforms were a response to the February 20 movement that emerged against the background of the Arab Spring. Prompted by this movement and its nationwide protests, the King of Morocco delivered a speech in March 2011 on reform and modernization, resulting in the rapid drafting and adoption of a new Moroccan constitution in June 2011. After a referendum on the constitutional reforms in July 2011, parliamentary elections were held in which a coalition government led by the Justice and Development Party (JDP) came to power. This paper analyzes the context of the 2011 constitution and assesses the trajectory of the constitutional reforms up to 2015. ",['mar'],GC,False,False,True,5
